date,avg_tone,article_count
2019-03-10,-1.037453819492301,42
2019-03-13,-1.1791906312297815,599
2019-08-10,-1.4621949209015181,1530
2019-08-11,-1.5377717274044445,77
2019-12-01,-1.5395127343675261,6851
2019-12-02,-1.1359377403765771,14698
2019-12-03,-0.9774805129903986,14081
2019-12-04,-1.138934973742976,16450
2019-12-05,-1.239567080794559,13245
2019-12-06,-0.9967296738919164,6789
2019-12-07,-1.2169526715110208,5437
2019-12-08,-0.928282738365871,6580
2019-12-09,-0.7741085864661889,8804
2020-01-30,-0.627534129511176,5510
2020-01-31,-0.9115826069754212,13012
2020-04-11,-1.6495599854555756,1262
2020-04-12,-1.8523805516528768,758
2020-04-13,-1.5477702364337849,3194
2020-04-14,-1.7564477501880245,5216
2020-04-15,-1.7420940862524164,2139
2020-04-16,-1.6058356063154247,1731
2020-04-17,-1.2965917074995585,1068
2020-04-18,-1.7882431125577778,608
2020-04-19,-1.7735142561468977,605
2020-04-20,-1.8903962747429714,645
2020-06-30,-1.061763456250515,1231
2020-09-10,-0.857123617624256,1634
2020-09-11,-0.7291403424492409,7149
2020-09-12,-0.5913654133080187,1476
2020-09-13,-1.6361020161604838,694
2020-09-14,-1.0751185525848406,1221
2020-09-15,-0.9241650942514804,672
2020-09-16,-0.65705311818469,4911
2020-09-17,-0.8658918465744302,7974
2020-09-18,-0.9378767079379028,10652
2020-09-19,-1.6500371093544555,5508
2021-01-10,-1.1946578552818796,316
2021-01-11,-0.8969543821694799,10306
2021-01-12,-0.8956970597754802,9924
2021-01-13,-0.863100135471489,8761
2021-01-14,-0.9239129079616568,6085
2021-01-15,-1.2536705752345003,14930
2021-01-16,-1.2881255138098442,7067
2021-01-17,-1.3478558905405547,7155
2021-01-18,-1.3034467276818236,13727
2021-01-19,-1.059282044323756,13932
2021-03-30,-0.9702122857307226,15426
2021-03-31,-0.749423569129402,16046
2021-06-10,-0.4930334879205034,11111
2021-06-11,-0.42099832644263396,10230
2021-06-12,-0.7481266241820574,5137
2021-06-13,-0.6595208135518553,9287
2021-06-14,-0.6396247078821348,13912
2021-06-15,-0.7479214373764905,16013
2021-06-16,-0.5810472931017858,13896
2021-08-30,-0.903279101968937,9762
2021-10-07,-0.4361591637252654,1298
2021-10-08,-0.5435298640492308,804
2021-10-09,-0.593340948445262,336
2021-12-20,-1.094253754253299,2429
2021-12-21,-0.7804972135559648,440
2021-12-22,-0.6862103205009629,332
2021-12-24,-0.9084455987393056,739
2021-12-25,-0.872670709184798,306
2021-12-26,-0.7963677589417949,778
2021-12-29,-1.548166118456498,1768
2022-05-25,-0.8074866826663242,13465
2022-05-26,-0.8466567115998396,14167
2022-05-27,-0.9005966288342787,13148
2022-05-28,-0.5751390738033065,7001
2022-05-29,-0.4888639734266941,6995
2022-08-09,-0.35351079542035063,3835
2022-12-01,-0.07515328506707647,2979
2022-12-02,-0.7670856872547982,2761
2022-12-03,-1.1523842401509317,6261
2022-12-04,-0.845535566404503,1339
2022-12-05,-0.3787999456652688,1559
2022-12-06,-0.6819951942269236,169
2022-12-07,-0.15137390455034777,20
2023-02-20,-0.5452851764440888,1614
2023-02-21,-0.4988969607916135,292
2023-02-23,-0.9965607637559334,137
2023-02-24,-1.1303949624103056,1041
2023-02-25,-1.9478539213166333,413
2023-02-26,-0.7592696076132068,3995
2023-02-27,-0.10342778328308633,1055
2023-02-28,-0.9121718550028879,59
2023-05-01,-0.283738506049658,310
2023-05-02,-0.272438583261318,2799
2023-05-03,-0.3203978138828604,1058
2023-05-04,0.024820802004625553,1438
2023-05-05,-0.2029154445612708,2467
2023-05-06,1.8687415899612052,3035
2023-05-07,0.783822806475613,2161
2023-05-09,-0.4708400660506838,2166
2023-07-20,-0.7446243418105631,602
2023-07-22,-1.5605123414017892,578
2023-07-23,-0.17992052883027304,670
2023-07-24,-0.6103968390131836,702
2023-07-25,-0.6376239654167317,244
2023-07-26,-1.085832194769334,286
2023-07-28,-1.0034551826381317,21
2024-01-30,-1.7161882386534841,28
2024-01-31,-0.4574813414188499,301
2024-04-10,-1.5209427781235112,18
2024-04-11,-1.1788891385360796,160
2024-04-12,-1.0553885436627959,80
2024-04-15,-1.4828083809294268,280
2024-04-16,-0.9385083145168404,171
2024-04-17,-0.8747108630959557,216
2024-04-18,-1.3606620070260154,196
2024-04-19,-0.3193718728196878,336
2024-06-30,-0.017322921704387352,19
2024-09-10,-0.7496621725410123,148
2024-09-11,-1.1076353062107445,114
2024-09-12,0.22689764013413052,162
2024-09-13,-1.0983146300047009,193
2024-09-14,-0.6906264948953135,112
2024-09-16,-0.4380771751556557,173
2024-09-17,-0.49984434947825884,113
2024-09-19,-0.7192912820539639,4853
2024-10-29,-0.8823560708068855,66
